20_Hit Timestamp,04_Navigation Channel,03_Content Title,Pageviews
2020-09-18T16:18:30.448+08:00,美食旅遊,【台南景點】「河樂廣場」最新免費戲水及網美打卡勝地，獲世界七大令人期待改造公園及全球十大新建築等國際肯定 – Ken&Alice 玩樂誌,12
2020-09-18T23:42:38.211+08:00,寰宇綜合,從Hahow好學校淺談2個學習新趨勢,12
2020-09-18T23:44:29.111+08:00,生活休閒,【Stories for Design】—「十一百造設計工作室」Part 1＿創立工作室到現在不變的初衷×什麼才是設計的提升？,12
2020-09-18T23:45:27.59+08:00,寰宇綜合,2020亞洲青年論壇，我們的驚奇年代 Asian Youth Forum-Our marvelous generation,12
2020-09-18T23:46:27.800+08:00,寰宇綜合,從Hahow好學校淺談2個學習新趨勢,12
2020-09-18T23:48:02.612+08:00,生活休閒,【創設日常】從一支畫筆裡，看見不同創作者對創作及設計的看法,12
2020-09-21T02:15:04.55+08:00,生活休閒,【Stories for Design】—「十一百造設計工作室」Part 1＿創立工作室到現在不變的初衷×什麼才是設計的提升？,12
2020-09-21T02:23:50.594+08:00,生活休閒,【Stories for Design】—「十一百造設計工作室」Part 1＿創立工作室到現在不變的初衷×什麼才是設計的提升？,12
2020-09-24T15:44:28.112+08:00,美食旅遊,連假來去新竹賞金針花、泡溫泉！5個秘境景點等你解鎖 | 2020台灣設計展,12
2020-09-24T15:53:02.585+08:00,美食旅遊,連假來去新竹賞金針花、泡溫泉！5個秘境景點等你解鎖 | 2020台灣設計展,12
2020-09-25T08:24:21.747+08:00,親子育兒,對孩子的愛，卻讓他失去自信心,12
2020-09-25T08:24:52.729+08:00,美食旅遊,花蓮一日遊｜幸福台九線小旅行！S形天堂之路！夢幻稻田濕地！縱谷秘境大公開！,12
2020-09-25T08:24:59.390+08:00,親子育兒,對孩子的愛，卻讓他失去自信心,12
2020-09-25T08:25:43.46+08:00,親子育兒,對孩子的愛，卻讓他失去自信心,12
2020-09-25T09:31:42.174+08:00,美食旅遊,連假來去新竹賞金針花、泡溫泉！5個秘境景點等你解鎖 | 2020台灣設計展,12
2020-09-25T18:13:47.379+08:00,生活休閒,【Stories for Design】—「十一百造設計工作室」Part 2＿創造更多的機會，讓文創及設計不是只有單一選擇,12
2020-09-25T18:18:34.406+08:00,寰宇綜合,厭世代的小確幸,12
2020-09-25T18:28:08.344+08:00,生活休閒,【創設思維】—「十一百造設計工作室」Part 2＿創造更多的機會，讓文創及設計不是只有單一選擇,12
2020-09-25T18:31:00.724+08:00,美食旅遊,連假來去新竹賞金針花、泡溫泉！5個秘境景點等你解鎖 | 2020台灣設計展,12
2020-09-25T20:51:43.213+08:00,健康運動,最新軟體下載更新 | 綠色工廠,12
2020-09-26T14:18:37.278+08:00,生活休閒,【Stories for Design】—「十一百造設計工作室」Part 1＿創立工作室到現在不變的初衷×什麼才是設計的提升？,12
2020-09-26T14:18:41.697+08:00,生活休閒,【創設思維】—「十一百造設計工作室」Part 2＿創造更多的機會，讓文創及設計不是只有單一選擇,12
2020-09-28T13:55:13.894+08:00,生活休閒,【Stories for Design】—「十一百造設計工作室」Part 1＿創立工作室到現在不變的初衷×什麼才是設計的提升？,12
2020-09-28T14:48:42.343+08:00,生活休閒,【創設思維】—「十一百造設計工作室」Part 2＿創造更多的機會，讓文創及設計不是只有單一選擇,12
2020-09-29T15:54:31.305+08:00,娛樂遊戲,《皮爾卡登：迷戀未來的人》時尚可以改變世界,12
2020-09-29T15:55:04.684+08:00,娛樂遊戲,《皮爾卡登：迷戀未來的人》時尚可以改變世界,12
2020-09-29T15:59:40.390+08:00,娛樂遊戲,《皮爾卡登：迷戀未來的人》時尚可以改變世界,12
2020-09-30T17:54:57.524+08:00,美食旅遊,連假來去新竹賞金針花、泡溫泉！5個秘境景點等你解鎖 | 2020台灣設計展,12
2020-10-08T15:49:50.167+08:00,娛樂遊戲,萬聖節，煉就經典：從《E.T》到《六人行》，5部影劇中必看的萬聖節橋段,12
2020-10-12T00:36:40.766+08:00,娛樂遊戲,萬聖變裝全攻略，成為全場焦點就是你！！,12
2020-10-12T00:37:06.988+08:00,娛樂遊戲,《可可夜總會》我活在你的記憶裡，不曾消失,12
2020-10-12T00:37:32.468+08:00,生活休閒,【萬聖節特輯】大人小孩在家也能一起享受的萬聖節動畫電影《可可夜總會》,12
2020-10-12T00:41:43.753+08:00,娛樂遊戲,《可可夜總會》我活在你的記憶裡，不曾消失,12
2020-10-12T00:45:36.533+08:00,生活休閒,【萬聖節特輯】有別以往的萬聖節 用親情包裹溫暖的音樂之旅《可可夜總會》,12
2020-10-12T00:49:33.922+08:00,生活休閒,【萬聖節特輯】有別以往的萬聖節 用親情包裹溫暖的音樂之旅《可可夜總會》,12
2020-10-12T08:27:58.387+08:00,美食旅遊,【萬華龍山寺美食】小南鄭記台南碗粿艋舺店將搬家到和平西路・西園路一段只營業到年底 | 北極熊x迷你竹的大世界,12
2020-10-13T02:22:59.419+08:00,生活休閒,【創設思維】—「十一百造設計工作室」Part 2＿創造更多的機會，讓文創及設計不是只有單一選擇,12
2020-10-13T02:23:15.392+08:00,生活休閒,【Stories for Design】—「十一百造設計工作室」Part 1＿創立工作室到現在不變的初衷×什麼才是設計的提升？,12
2020-10-13T02:36:49.417+08:00,生活休閒,【萬聖節特輯】有別以往的萬聖節 用親情包裹溫暖的音樂之旅《可可夜總會》,12
2020-10-14T15:43:35.195+08:00,娛樂遊戲,是男是女，重要嗎？金曲新人「持修」引來的性別風暴,12
2020-10-14T15:45:44.378+08:00,娛樂遊戲,是男是女，重要嗎？金曲新人「持修」引來的性別風暴,12
2020-10-16T01:14:03.49+08:00,生活休閒,【創設思維】—「十一百造設計工作室」Part 2＿創造更多的機會，讓文創及設計不是只有單一選擇,12
2020-10-16T13:59:43.873+08:00,生活休閒,【Stories for Design】—「微景設計」Part 1＿想讓它不只是窗邊的植物，更希望它扎入我們的日常,12
2020-10-16T14:05:04.540+08:00,生活休閒,【Stories for Design】—「微景設計」Part 1＿想讓它不只是窗邊的植物，更希望它扎入我們的日常,12
